start;edge;end
V6.5;0282-NC-6;M1.6
V5.5;0284-NC-1;M1.5
V4.5;0286-NC-1;M1.4
V3.5;0275-NC-3;M1.3
V2.5;0284-NC-4;M1.2
V1.5;0283-NC-5;M1.1
A0.0;0500-NC-3;V6.0
B0.0;0490-NC-6;V5.0
C0.0;0500-NC-5;V4.0
D0.0;0498-NC-1;V3.0
E0.0;0498-NC-2;V2.0
F0.0;0500-NC-4;V1.0
V1.10;0999-CC-4;waste_1
V2.10;1000-CC-5;waste_1
V3.10;0999-CC-2;waste_1
V4.10;1002-CC-3;waste_1
V5.10;0998-CC-1;waste_1
V6.10;0999-CC-6;waste_1
ambient;0040-CC-1;V1.9
ambient;0040-CC-2;V2.9
ambient;0040-CC-3;V3.9
ambient;0040-CC-4;V4.9
ambient;0040-CC-5;V5.9
ambient;0040-CC-6;V6.9
V1.1;0488-CC-2;Reservoir1
V2.1;0489-CC-3;Reservoir2
V3.1;0487-CC-6;Reservoir3
V4.1;0488-CC-4;Reservoir4
V5.1;0489-CC-11;Reservoir5
V6.1;0489-CC-12;Reservoir6
V1.2;0487-CC-5;Solvent
V2.2;0489-CC-8;Solvent
V3.2;0489-CC-7;Solvent
V4.2;0490-CC-1;Solvent
V5.2;0489-CC-9;Solvent
V6.2;0489-CC-13;Solvent
V8.10;0707-CC-1;waste_1
M1.0;0399-NC-1;V7.1
V7.0;0255-TT-1;V8.0
V8.9;2622-NT-2;nmrIN
V8.8;2602-NT-1;densiViscoIN
V8.7;0589-FT-7;electrochemistryIN
V8.6;0170-CC-1;V9.6
V9.9;5264-NT-1;nmrOUT
V9.8;3439-NT-2;densiViscoOUT
V9.7;0588-FT-8;electrochemistryOUT
V9.0;0300-CC-2;V10.0
V10.10;0797-CC-1;waste_1
V10.9;0488-CC-3;waste_2
V10.8;0401-CC-4;vial_8
V10.7;0399-CC-8;vial_7
V10.6;0400-CC-2;vial_6
V10.5;0400-CC-6;vial_5
V10.4;0400-CC-5;vial_4
V10.3;0391-CC-3;vial_3
V10.2;0400-CC-7;vial_2
V10.1;0400-CC-1;vial_1
pressurizedGas;1000-YY-1;ArdV_0_1.1
ambient;0493-NC-2;ArdV_0_1.0
ArdV_0_1_0.0;0413-NN-1;V7.5
